"Anno","Provincia","Euro","AL","BE","BG","BM","EL","GA","GG","IB","IG","ME","ND","Totale"
"2020","CREMONA","EURO 4","0","26.469","4.446","997","0","23.331","0","38","0","190","0","55.471"
"2020","CREMONA","EURO 5","0","16.347","3.034","943","0","27.740","0","372","18","220","0","48.674"
"2020","CREMONA","EURO 6","0","29.047","4.465","705","0","32.388","0","3.506","408","435","0","70.954"
"2020","CREMONA","NC","0","0","0","0","288","0","0","0","0","0","0","288"
"2020","CREMONA","ND","0","77","4","0","0","1","0","0","0","0","0","82"
"2020","Totale Provincia","","5","102.771","13.532","3.022","288","100.193","0","3.916","426","859","8","225.020"
"2020","MANTOVA","EURO 0","4","13.882","1.480","278","0","2.468","0","0","0","1","3","18.116"
"2020","MANTOVA","EURO 1","0","3.917","341","106","0","869","0","0","0","1","0","5.234"
"2020","MANTOVA","EURO 2","0","14.072","793","256","0","5.012","0","0","0","1","0","20.134"
"2020","MANTOVA","EURO 3","0","12.226","621","275","0","15.317","0","0","0","28","0","28.467"
"2020","MANTOVA","EURO 4","0","30.076","6.958","1.806","0","30.441","0","43","0","350","0","69.674"
"2020","MANTOVA","EURO 5","0","15.637","4.134","1.333","0","32.374","0","271","14","382","0","54.145"
"2020","MANTOVA","EURO 6","0","30.390","6.628","1.294","0","38.206","0","3.120","352","768","0","80.758"
"2020","MANTOVA","NC","0","0","0","0","320","0","0","0","0","0","0","320"
"2020","MANTOVA","ND","0","112","7","1","0","4","0","0","0","0","3","127"
"2020","Totale Provincia","","4","120.312","20.962","5.349","320","124.691","0","3.434","366","1.531","6","276.975"
"2020","LECCO","EURO 0","2","10.660","308","12","0","1.894","0","0","0","2","3","12.881"
"2020","LECCO","EURO 1","0","2.147","78","0","0","331","0","0","0","0","0","2.556"
"2020","LECCO","EURO 2","0","8.018","179","6","0","1.868","0","0","0","0","0","10.071"
"2020","LECCO","EURO 3","0","10.762","168","21","0","7.554","0","0","1","1","0","18.507"
"2020","LECCO","EURO 4","0","33.071","3.048","293","0","19.487","0","60","0","25","0","55.984"
"2020","LECCO","EURO 5","0","21.348","1.703","271","0","23.572","0","411","23","68","0","47.396"
"2020","LECCO","EURO 6","1","38.413","2.175","235","0","26.415","0","3.979","240","156","0","71.614"
"2020","LECCO","NC","0","0","0","0","395","0","0","0","0","0","0","395"
"2020","LECCO","ND","0","70","0","0","0","2","0","0","0","0","0","72"
"2020","Totale Provincia","","3","124.489","7.659","838","395","81.123","0","4.450","264","252","3","219.476"
"2020","LODI","EURO 0","3","7.445","535","59","0","1.653","0","0","0","3","8","9.706"
"2020","LODI","EURO 1","0","1.499","130","14","0","375","0","0","0","0","0","2.018"
"2020","LODI","EURO 2","0","5.405","274","43","0","1.657","0","0","0","3","0","7.382"
"2020","LODI","EURO 3","0","5.908","239","50","0","6.635","0","0","0","4","0","12.836"
"2020","LODI","EURO 4","0","16.287","3.143","508","0","13.237","0","17","0","50","0","33.242"
"2020","LODI","EURO 5","0","10.083","2.185","499","0","16.837","0","174","11","114","0","29.903"
"2020","LODI","EURO 6","0","19.879","3.703","399","0","21.477","0","1.756","174","172","0","47.560"
"2020","LODI","NC","0","0","0","0","149","0","0","0","0","0","0","149"
"2020","LODI","ND","0","22","1","1","0","0","0","0","0","0","1","25"
"2020","Totale Provincia","","3","66.528","10.210","1.573","149","61.871","0","1.947","185","346","9","142.821"
"2020","MONZA BRIANZA","EURO 0","4","26.107","884","53","0","5.270","0","0","0","4","27","32.349"
"2020","MONZA BRIANZA","EURO 1","0","9.010","270","8","0","1.968","0","0","0","0","0","11.256"
"2020","MONZA BRIANZA","EURO 2","0","24.024","558","42","0","5.388","0","0","0","0","0","30.012"
"2020","MONZA BRIANZA","EURO 3","0","29.118","598","98","0","18.303","0","0","0","12","0","48.129"
"2020","MONZA BRIANZA","EURO 4","0","85.248","11.664","1.434","0","40.097","0","180","0","184","0","138.807"
"2020","MONZA BRIANZA","EURO 5","0","56.767","6.754","915","0","52.277","0","1.341","61","230","0","118.345"
"2020","MONZA BRIANZA","EURO 6","0","104.576","8.309","692","0","59.815","0","11.791","693","477","0","186.353"
"2020","MONZA BRIANZA","NC","0","0","0","0","881","0","0","0","0","0","0","881"
"2020","MONZA BRIANZA","ND","0","90","1","0","0","0","0","0","0","0","3","94"
"2020","Totale Provincia","","4","334.940","29.038","3.242","881","183.118","0","13.312","754","907","30","566.226"
"2020","BOLZANO","EURO 0","15","14.503","376","47","0","1.629","0","0","0","0","5","16.575"
"2020","BOLZANO","EURO 1","0","3.596","157","5","0","775","0","0","0","0","0","4.533"
"2020","BOLZANO","EURO 2","0","11.759","321","23","0","5.072","0","0","0","1","0","17.176"
"2020","BOLZANO","EURO 3","0","9.700","255","47","0","17.047","0","0","0","5","1","27.055"
"2020","BOLZANO","EURO 4","0","42.009","2.915","465","0","39.782","0","67","0","120","1","85.359"
"2020","BOLZANO","EURO 5","0","23.425","1.029","273","0","53.977","0","313","32","123","0","79.172"
